,0,1
0,1.3,7.3757
1,2.59,3.0994
2,3.89,2.9115
3,5.19,2.7611
4,6.49,2.6402
5,7.78,2.5412
6,9.08,2.4446
7,10.38,2.3445
8,11.67,2.2666
9,12.97,2.1927
10,14.27,2.1022
11,15.56,2.0354
12,16.86,1.9721
13,18.16,1.901
14,19.46,1.8342
15,20.75,1.7805
16,22.05,1.7237
17,23.35,1.66
18,24.64,1.614
19,25.94,1.5699
20,27.24,1.5128
21,28.53,1.4694
22,29.83,1.431
23,31.13,1.386
24,32.43,1.3421
25,33.72,1.3117
26,35.02,1.2795
27,36.32,1.2335
28,37.61,1.2066
29,38.91,1.1805
30,40.21,1.1433
31,41.5,1.1155
32,42.8,1.093
33,44.1,1.0647
34,45.4,1.0364
35,46.69,1.0174
36,47.99,0.9972
37,49.29,0.969
38,50.58,0.9503
39,51.88,0.9358
40,53.18,0.9126
41,54.47,0.8957
42,55.77,0.8805
43,57.07,0.8664
44,58.37,0.8447
45,59.66,0.8343
46,60.96,0.8224
47,62.26,0.8039
48,63.55,0.793
49,64.85,0.7837
50,66.15,0.7705
51,67.44,0.758
52,68.74,0.7504
53,70.04,0.7406
54,71.34,0.7277
55,72.63,0.7214
56,73.93,0.714
57,75.23,0.703
58,76.52,0.6971
59,77.82,0.6897
60,79.12,0.6825
61,80.42,0.6765
62,81.71,0.6706
63,83.01,0.6659
64,84.31,0.6596
65,85.6,0.6538
66,86.9,0.6516
67,88.2,0.6459
68,89.49,0.6408
69,90.79,0.6386
70,92.09,0.6356
71,93.39,0.6315
72,94.68,0.6293
73,95.98,0.6282
74,97.28,0.6255
75,98.57,0.6226
