,0,1
0,1.82,7.4651
1,3.65,2.9538
2,5.47,2.726
3,7.3,2.5538
4,9.12,2.4041
5,10.95,2.2673
6,12.77,2.1371
7,14.6,2.0266
8,16.42,1.9182
9,18.25,1.8199
10,20.07,1.7311
11,21.9,1.6389
12,23.72,1.5555
13,25.55,1.4834
14,27.37,1.4128
15,29.2,1.3477
16,31.02,1.2882
17,32.85,1.226
18,34.67,1.1726
19,36.5,1.1251
20,38.32,1.0805
21,40.15,1.0372
22,41.97,0.9981
23,43.8,0.9559
24,45.62,0.9214
25,47.45,0.8916
26,49.27,0.8618
27,51.09,0.833
28,52.92,0.8073
29,54.74,0.7819
30,56.57,0.7593
31,58.39,0.739
32,60.22,0.7198
33,62.04,0.7014
34,63.87,0.6832
35,65.69,0.6676
36,67.52,0.6548
37,69.34,0.6395
38,71.17,0.6269
39,72.99,0.6161
40,74.82,0.604
41,76.64,0.5951
42,78.47,0.5849
43,80.29,0.5773
44,82.12,0.5682
45,83.94,0.5619
46,85.77,0.5552
47,87.59,0.5491
48,89.42,0.5447
49,91.24,0.5392
